Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Code du secteur disciplinaire;Secteur disciplinaire;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administration publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2016;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie civil;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_02;Génie civil;720;97;90;15;35;86;99;1700;26500;1500;1950;15;13;8.5;1830;SD12;1450;2180;disc15_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;98;92;80;4;44;75;99;1600;25000;1400;1860;24;;9.3;1870;SD13;1480;2280;disc15_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;98;91;78;2;44;51;98;1510;23500;1300;1750;24;;9.3;1870;SD13;1480;2280;disc15_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2019;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;585;94;91;11;35;87;99;1900;29600;1640;2190;12;;7.2;1980;SD13;1480;2480;disc15_03_30;1;2;84;1;;8;0;4;0;0;0;0;2;6;87;4;1;0;0;0;0;3;57;7;1;9;1;1;12;1;2;4;2;0;1;1;1;0;2;9;3;77;1;4;2',,,,,,,,,,,,,,,,
2016;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;370;94;83;8;42;83;99;1750;27300;1550;2000;19;25;8.5;1830;SD13;1450;2180;disc15_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;341;94;88;11;42;82;100;1760;27400;1530;2020;14;;8.6;1865;SD13;1475;2280;disc15_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;579;94;89;10;38;85;99;1790;27900;1560;2100;15;;7.8;1900;SD13;1470;2330;disc15_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Génie des procédés;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_03;Génie des procédés;120;94;78;9;42;83;96;1650;25700;1400;1920;25;;7.8;1900;SD13;1470;2330;disc15_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;55;96;84;4;36;77;100;1620;25300;ns;ns;8;;7.8;1900;SD11;1470;2330;disc15_04_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;707;93;91;13;30;91;99;1840;28700;1600;2080;13;;7.8;1930;SD11;1490;2380;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2019;LICENCE PRO;18 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;630;90;92;12;28;82;99;1730;28900;1550;1980;13;;7.2;1980;SD11;1480;2480;disc15_04_18;1;0;79;2;;11;0;7;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;12;1;78;0;5;2,,,,,,,,,,,,,,
2016;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;852;96;93;10;33;85;99;1750;27300;1560;1970;17;8;8.5;1830;SD11;1450;2180;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;886;95;90;8;32;84;100;1750;27300;1560;2000;14;;8.6;1865;SD11;1475;2280;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;969;95;89;9;33;84;99;1750;27300;1540;2000;14;8;8.6;1865;SD11;1475;2280;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;734;97;95;12;35;91;99;1800;28100;1630;2030;15;;7.8;1900;SD11;1470;2330;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Mécanique', génie mécanique;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;disc15_04;Mécanique', génie mécanique;55;98;93;4;36;87;98;1730;27000;ns;ns;8;;7.8;1900;SD11;1470;2330;disc15_04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;1298;94;88;7;39;75;98;1700;26500;1500;1910;18;25;7.8;1900;SD16;1470;2330;disc15_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;827;94;88;8;33;79;98;1770;27600;1580;2000;14;;7.8;1930;SD16;1490;2380;disc15_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;305;94;75;7;34;76;98;1520;23700;1400;1750;17;;9.3;1870;SD16;1480;2280;disc15_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;1122;95;89;6;36;79;99;1700;26500;1500;1950;15;;9.3;1870;SD16;1480;2280;disc15_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2019;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;268;93;87;12;32;82;97;1660;25900;1500;1850;16;;7.2;1980;SD16;1480;2480;disc15_05_30;3;3;76;0;;11;0;5;1;1;0;0;3;9;78;5;4;0;0;0;0;2;31;4;3;12;5;1;16;2;3;2;15;2;1;0;3;1;3;8;6;69;0;3;7',,,,,,,,,,,,,,,,
2019;LICENCE PRO;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;635;94;90;12;30;89;99;1930;30000;1700;2230;13;;7.2;1980;SD16;1480;2480;disc15_05_30;3;2;84;1;;7;0;3;0;0;0;0;3;6;85;4;1;0;0;0;0;2;43;6;0;17;2;2;17;2;2;3;3;1;2;0;2;0;2;10;2;76;2;3;3',,,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;323;93;79;12;40;75;97;1600;25000;1410;1900;20;;8.6;1865;SD16;1475;2280;disc15_05_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Technologie et sciences industrielles;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;disc15_05;Technologie et sciences industrielles;1500;93;82;8;36;70;98;1610;25100;1420;1840;18;22;8.5;1830;SD16;1450;2180;disc15_05_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2013;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1315;93;88;22;29;86;98;1670;26100;1500;1900;22;;9.9;1870;SD14;1490;2280;disc16_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;;91;93;36;25;83;97;1790;27900;1600;2010;19;;7.8;1930;SD14;1490;2380;disc16_30;8;0;75;0;;15;0;0;1;0;1;0;5;8;82;2;4;0;0;0;0;0;4;3;1;10;50;6;7;2;4;3;5;3;2;0;1;8;3;25;4;52;0;1;6,,,,,,,,,,,,,,,,
2013;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1548;93;86;21;30;84;97;1660;25900;1500;1900;24;14;9.9;1870;SD14;1490;2280;disc16_30;2;2;79;;;12;0;2;0;1;1;0;2;10;4;82;2;0;;;0;1;14;1;;9;35;3;13;2;3;4;4;1;10;;;;1;20;3;62;1;1;11,,,,,,,,,,,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1475;94;93;24;28;85;99;1680;26300;1500;1900;22;9;7.8;1900;SD14;1470;2330;disc16_18;2;1;81;1;;13;0;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;22;3;67;1;2;4,,,,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1315;90;88;17;29;76;97;1570;24400;1400;1790;22;;9.9;1870;SD14;1490;2280;disc16_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2019;LICENCE PRO;18 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;112;94;91;30;27;87;100;1650;28100;1500;1820;20;;7.2;1980;SD14;1480;2480;disc16_18;1;3;83;0;;10;0;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;27;3;59;2;3;4,,,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1448;94;84;23;29;89;98;1740;27100;1500;2000;22;15;8.6;1865;SD14;1475;2280;disc16_30;2;3;84;;;8;0;2;0;1;0;0;2;7;87;3;1;0;;;0;1;12;2;;8;36;3;15;2;3;3;3;1;11;;;;1;22;3;57;2;1;13,,,,,,,,,,,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1386;94;91;22;31;81;98;1630;25400;1450;1840;24;11;8.5;1830;SD14;1450;2180;disc16_18;2;1;78;;;14;0;4;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;21;3;66;1;2;6,,,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1223;94;87;24;28;91;99;1760;27400;1540;2000;22;;8.6;1865;SD14;1475;2280;disc16_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;disc16;Informatique;1212;94;92;21;31;82;99;1650;25700;1470;1850;23;;8.5;1830;SD14;1450;2180;disc16_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;;91;67;10;27;79;93;1550;24200;1400;1810;32;53;7.8;1930;;1490;2380;disc17_30;6;4;71;0;;18;0;0;0;1;0;0;5;13;65;2;13;0;0;1;1;1;9;0;0;28;0;0;10;0;5;6;20;13;6;0;3;1;3;6;8;50;3;1;23,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;;92;61;6;27;68;88;1500;23400;1330;1700;32;53;7.8;1930;;1490;2380;disc17_18;5;3;61;0;;26;1;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;4;1;3;4;9;46;2;3;27,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;;91;63;9;23;67;89;1480;23100;1330;1680;36;;7.8;1930;;1490;2380;disc17_18;1;4;65;0;;26;1;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;5;5;10;46;1;4;26,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;373;93;71;18;44;70;89;1500;23400;1300;1820;27;51;9.3;1870;;1480;2280;disc17_30;5;6;59;;;22;1;2;2;1;2;0;5;17;2;62;13;0;;;1;1;16;3;;12;1;2;7;0;4;6;20;14;13;;;;4;15;5;48;5;2;21,,,,,,,,,,,,
2019;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;80;89;72;24;33;80;96;1550;24200;1410;1850;26;;7.2;1980;;1480;2480;disc17_30;21;9;50;0;;17;0;3;0;0;0;0;22;23;44;2;10;0;0;0;0;0;3;3;1;12;1;0;3;3;10;10;16;25;12;0;8;14;8;1;5;43;5;0;15,,,,,,,,,,,,
2019;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Autres sciences, technologies et santé;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17;Autres sciences, technologies et santé;149;91;61;15;35;65;85;1500;23400;1300;1700;29;44;7.2;1980;;1480;2480;disc17_18;13;6;46;0;;29;2;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;4;8;3;4;11;34;7;0;28,,,,,,,,,,,,
2013;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD41;1490;2280;disc17_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD41;1490;2280;disc17_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD41;1490;2280;disc17_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;7.8;1930;SD41;1490;2380;disc17_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;;;;;;;;;;;;;;7.8;1930;SD41;1490;2380;disc17_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD41;1480;2280;disc17_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;9;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;8.6;1865;SD41;1475;2280;disc17_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences,' technologies et santé>Formation générale aux métiers de l''ingénieur;STS;Sciences', technologies et santé;disc17;Autres sciences,' technologies et santé;disc17_01;Formation générale aux métiers de l''ingénieur;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;SD41;1450;2180;disc17_01_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,
2013;LICENCE PRO;30 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD07;1490;2280;disc17_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2013;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;20;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD07;1490;2280;disc17_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;20;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD07;1490;2280;disc17_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;40;95;84;10;54;63;85;ns;ns;ns;ns;21;49;9.9;1870;SD07;1490;2280;disc17_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;femmes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD07;1490;2280;disc17_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.8;1930;SD07;1490;2380;disc17_03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;hommes;Sciences, technologies et santé>Autres sciences, technologies et santé>Médecine;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;disc17_03;Médecine;7;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD07;1480;2280;disc17_03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
