Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Code du secteur disciplinaire;Secteur disciplinaire;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administration publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2016;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;8.5;1830;SD17;1450;2180;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;8.5;1830;SD17;1450;2180;disc06_09_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Sciences du langage, linguistique;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_09;Sciences du langage, linguistique;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;7.8;1900;SD17;1470;2330;disc06_09_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1930;SD67;1490;2380;disc06_11_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1930;SD67;1490;2380;disc06_11_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;1;nd;nd;nd;ns;nd;nd;nd;nd;nd;nd;ns;;7.8;1900;SD67;1470;2330;disc06_11_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, langues, sciences humaines;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_11;Pluridisciplinaire lettres, langues, sciences humaines;1;ns;ns;ns;ns;ns;ns;nd;nd;nd;nd;ns;;7.8;1900;SD67;1470;2330;disc06_11_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;17;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD64;1490;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2013;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;SD64;1490;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;SD64;1480;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;30;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;8;ns;9.3;1870;SD64;1480;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2019;LICENCE PRO;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;85;86;61;19;41;54;82;1470;22900;ns;ns;24;;7.2;1980;SD64;1480;2480;disc06_12_30;4;3;46;0;;19;0;2;23;0;2;0;6;6;69;7;7;2;0;1;1;0;3;0;0;28;21;0;3;2;7;5;0;28;3;0;6;4;0;14;3;40;5;0;28,,,,,,
2016;LICENCE PRO;18 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;34;84;ns;ns;ns;ns;ns;ns;ns;ns;ns;30;;8.5;1830;SD64;1450;2180;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;20;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;SD64;1475;2280;disc06_12_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2015;LICENCE PRO;18 mois après le diplôme;hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;10;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;SD64;1475;2280;disc06_12_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Lettres, langues, arts>Lettres, langues, arts>Pluridisciplinaire lettres, sciences du langage, arts;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;disc06_12;Pluridisciplinaire lettres, sciences du langage, arts;124;86;76;28;41;71;87;1590;24800;1360;1900;14;66;7.8;1900;SD64;1470;2330;disc06_12_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;1463;86;67;15;47;58;89;1500;23400;1310;1710;30;59;7.8;1900;;1470;2330;disc07_18;4;5;49;0;;35;2;4;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;3;10;8;45;7;5;18,,,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;;85;61;14;40;62;89;1500;23400;1310;1690;35;;7.8;1930;;1490;2380;disc07_30;5;6;52;0;;33;1;2;1;0;1;0;6;27;47;2;16;0;0;1;0;2;8;3;1;13;12;1;6;4;6;17;13;7;5;0;3;2;4;9;11;35;10;3;23,,,,,,,,,,,,,,,,,,
2018;LICENCE PRO;18 mois après le diplôme;femmes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;;85;56;13;40;48;86;1430;22200;1300;1600;35;;7.8;1930;;1490;2380;disc07_18;3;4;41;1;;45;1;4;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;0;3;1;4;8;10;33;11;3;27,,,,,,,,,,,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;1491;83;54;11;48;49;87;1400;21800;1240;1580;29;62;9.3;1870;;1480;2280;disc07_18;4;4;41;;0;41;2;4;1;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2;10;6;37;8;5;33,,,,,,,,,,,,,,,,,,
2016;LICENCE PRO;30 mois après le diplôme;hommes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;553;92;74;21;50;74;96;1600;25000;1400;1910;27;;8.5;1830;;1450;2180;disc07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2017;LICENCE PRO;30 mois après le diplôme;femmes;Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;864;87;64;13;47;65;90;1500;23400;1350;1720;34;;7.8;1900;;1470;2330;disc07_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;;60;ns;ns;ns;61;ns;ns;ns;ns;ns;47;;7.8;1930;;1490;2380;disc08_30;20;0;40;0;;32;3;3;0;0;0;0;22;28;28;3;14;0;0;4;0;0;0;0;5;20;5;0;0;21;12;8;4;21;5;0;3;11;0;3;0;21;10;0;52,,,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;;64;49;15;44;58;73;ns;ns;ns;ns;46;80;7.8;1930;;1490;2380;disc08_30;18;0;40;0;;34;2;5;0;0;0;0;19;31;29;5;13;0;0;3;0;3;0;0;3;18;9;0;3;18;12;12;3;15;3;0;3;11;0;5;8;26;7;3;38,,,,,,,,,,,,,,,,,,
2017;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;47;84;57;26;50;48;68;ns;ns;ns;ns;35;78;7.8;1900;;1470;2330;disc08_18;21;2;25;0;;46;0;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;19;0;7;7;22;5;0;39,,,,,,,,,,,,,,,,,,
2014;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;39;83;55;6;40;31;85;ns;ns;ns;ns;18;50;9.3;1870;;1480;2280;disc08_18;0;2;29;;0;48;3;14;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;6;42;6;4;36,,,,,,,,,,,,,,,,,,
2019;LICENCE PRO;18 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;61;63;39;8;57;33;69;ns;21800;ns;ns;33;87;7.2;1980;;1480;2480;disc08_18;10;3;20;0;;62;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;8;0;0;15;16;14;8;39,,,,,,,,,,,,,,,,,,
2015;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;42;84;66;2;60;53;95;1400;21800;ns;ns;36;59;8.6;1865;;1475;2280;disc08_30;0;0;53;;;34;0;8;0;0;6;0;0;15;49;12;24;0;;;0;3;11;0;;3;8;0;18;2;0;15;8;15;16;;;;0;3;9;55;3;0;30,,,,,,,,,,,,,,,,,,
2016;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire-géographie;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08;Histoire-géographie;35;80;ns;ns;ns;ns;ns;ns;ns;ns;ns;42;61;8.5;1830;;1450;2180;disc08_30;6;7;43;;;32;4;7;0;0;0;0;6;29;46;0;18;0;;;0;6;0;3;;9;3;0;12;19;0;10;14;17;7;;;;0;21;20;24;8;0;28,,,,,,,,,,,,,,,,,,
2018;LICENCE PRO;30 mois après le diplôme;hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;7;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1930;SD27;1490;2380;disc08_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2014;LICENCE PRO;30 mois après le diplôme;femmes et hommes;Sciences humaines et sociales>Histoire-géographie>Histoire;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;disc08_01;Histoire;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.3;1870;SD27;1480;2280;disc08_01_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
