Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;107;84;78;28;30;85;94;1500;23400;1300;1660;41;6;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;30;99;ns;ns;ns;ns;ns;ns;ns;ns;ns;27;85;9.3;1870;;1480;2280;_30;0;46;34;;;11;4;0;0;1;0;0;0;63;3;19;0;15;;;0;0;1;0;;1;0;5;16;4;32;30;4;0;8;;;;0;4;13;18;40;0;25,,,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;166;87;84;15;28;79;98;1630;25400;1440;1900;44;3;9.3;1870;;1480;2280;_30;4;4;71;;;15;0;3;0;1;1;0;4;7;8;80;1;0;;;1;1;12;2;;13;58;1;2;1;1;5;1;0;3;;;;0;15;2;67;3;2;11,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;47;90;92;2;21;79;98;1650;25800;ns;ns;50;44;7.2;1980;;1480;2480;_30;0;6;72;0;;16;0;5;0;0;0;0;0;12;85;4;0;0;0;0;0;2;68;0;0;3;0;0;19;0;4;4;2;0;0;0;0;0;0;2;3;87;4;0;4,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,,,
'2019;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Sciences de l''information et de la communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Sciences de l''information et de la communication;96;71;57;7;50;66;77;1400;21800;ns;ns;57;;7.2;1980;;1480;2480;_18;14;5;46;1;;18;1;7;3;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;0;9;2;1;5;6;44;9;5;20',,,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.2;1980;;1480;2480;_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;25;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
