Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Taux d’insertion;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;% emplois extérieurs à la région de l’université;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant,' chef d’entreprise;Fonctionnaire;CDI;CDI de chantier ou CDI de mission;Contrat spécifique au doctorat;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d''etat',' territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Organisation internationale ou une institution de l''Union européenne;Société d''économie mixte;Un particulier;Agriculture', sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Activités immobilières;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Agriculteur;Artisan, commerçant,' chef d''entreprise;Profession libérale;Personnel de catégorie A de la fonction publique;Ingénieur', cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service
2014;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;7;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;MP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;MP_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;MP_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;7;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;MP_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;58;95;90;3;20;71;97;1650;25700;ns;ns;36;16;8.6;1865;;1475;2280;MP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences fondamentales>Mesures physiques;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;MP;Mesures physiques;48;96;89;4;16;69;100;1670;26000;ns;ns;35;;8.6;1865;;1475;2280;MP_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Packaging Emballage et Conditionnement;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;PEC;Packaging Emballage et Conditionnement;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;PEC_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns',,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Packaging Emballage et Conditionnement;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;PEC;Packaging Emballage et Conditionnement;7;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;8.5;1830;;1450;2180;PEC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Packaging Emballage et Conditionnement;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;PEC;Packaging Emballage et Conditionnement;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;PEC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Packaging Emballage et Conditionnement;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;PEC;Packaging Emballage et Conditionnement;4;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;PEC_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;10;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;QLIO_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;37;91;46;3;ns;62;86;ns;ns;ns;ns;21;27;7.8;1900;;1470;2330;QLIO_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2014;DUT;30 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;33;85;ns;ns;ns;ns;ns;ns;ns;ns;ns;27;18;9.3;1870;;1480;2280;QLIO_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;QLIO_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;27;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;QLIO_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;QLIO_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;QLIO_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;35;82;ns;ns;ns;ns;ns;ns;ns;ns;ns;38;;8.5;1830;;1450;2180;QLIO_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;4;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;QLIO_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Qualité', logistique industrielle et organisation;STS;Sciences,' technologies et santé;disc15;Sciences de l''ingénieur;QLIO;Qualité', logistique industrielle et organisation;10;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;QLIO_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;54;93;83;4;33;69;96;1500;23400;ns;ns;35;;7.8;1900;;1470;2330;R&T_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;46;94;87;;32;84;99;1460;22800;ns;ns;29;;9.9;1870;;1490;2280;R&T_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;43;70;89;2;31;80;100;ns;ns;ns;ns;33;3;9.3;1870;;1480;2280;R&T_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;4;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;R&T_30;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;86;91;73;4;31;68;98;1600;25000;1400;1700;40;;8.5;1830;;1450;2180;R&T_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;95;92;73;4;29;71;98;1600;25000;1400;1700;37;7;8.5;1830;;1450;2180;R&T_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Réseaux et télécommunications;STS;Sciences, technologies et santé;disc16;Informatique;R&T;Réseaux et télécommunications;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;R&T_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Sciences et génie des matériaux;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;SGM;Sciences et génie des matériaux;11;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.8;1900;;1470;2330;SGM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Sciences et génie des matériaux;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;SGM;Sciences et génie des matériaux;9;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;9.9;1870;;1490;2280;SGM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;femmes;Sciences,' technologies et santé>Sciences de l''ingénieur>Sciences et génie des matériaux;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;SGM;Sciences et génie des matériaux;1;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;SGM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2014;DUT;18 mois après le diplôme;hommes;Sciences,' technologies et santé>Sciences de l''ingénieur>Sciences et génie des matériaux;STS;Sciences',' technologies et santé;disc15;Sciences de l''ingénieur;SGM;Sciences et génie des matériaux;9;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.3;1870;;1480;2280;SGM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;',,,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Statistique et informatique décisionnelle;DEG;Droit, économie et gestion;disc04;Gestion;STID;Statistique et informatique décisionnelle;5;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;STID_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Statistique et informatique décisionnelle;DEG;Droit, économie et gestion;disc04;Gestion;STID;Statistique et informatique décisionnelle;5;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.5;1830;;1450;2180;STID_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Statistique et informatique décisionnelle;DEG;Droit, économie et gestion;disc04;Gestion;STID;Statistique et informatique décisionnelle;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;STID_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2015;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Statistique et informatique décisionnelle;DEG;Droit, économie et gestion;disc04;Gestion;STID;Statistique et informatique décisionnelle;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;STID_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Statistique et informatique décisionnelle;DEG;Droit, économie et gestion;disc04;Gestion;STID;Statistique et informatique décisionnelle;2;ns;nd;nd;nd;nd;nd;nd;nd;nd;nd;ns;;7.8;1900;;1470;2330;STID_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;131;90;43;7;27;68;93;1500;23400;1330;1870;36;;7.8;1900;;1470;2330;TC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;311;90;42;5;24;66;91;1500;23400;1240;1700;41;57;7.8;1900;;1470;2330;TC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;162;91;42;10;33;73;94;1560;24300;1300;1920;30;;9.9;1870;;1490;2280;TC_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;183;83;23;4;21;69;80;1300;20300;1200;1500;34;;9.9;1870;;1490;2280;TC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;195;93;36;6;19;67;91;1450;22600;1250;1680;41;;8.5;1830;;1450;2180;TC_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;360;89;32;5;25;62;86;1380;21500;1210;1630;38;55;8.5;1830;;1450;2180;TC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;195;89;28;3;19;59;84;1340;20900;1200;1500;41;;8.5;1830;;1450;2180;TC_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2016;DUT;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Techniques de commercialisation;DEG;Droit, économie et gestion;disc04;Gestion;TC;Techniques de commercialisation;165;93;47;10;32;72;95;1610;25100;1310;2000;33;;8.5;1830;;1450;2180;TC_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;18;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;4;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;25;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.8;1900;;1470;2330;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;hommes;Sciences humaines et sociales>Information communication>Information-Communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Information-Communication;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;107;87;78;32;30;85;97;1700;26500;1460;1940;41;6;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;42;81;84;6;42;53;97;1530;23900;ns;ns;36;;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2013;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;6;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2017;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Carrières juridiques;DEG;Droit, économie et gestion;disc02;Droit;;Carrières juridiques;22;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;7.8;1900;;1470;2330;_18;ns;ns;ns;;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;femmes;Sciences humaines et sociales>Information communication>Services et réseaux de communication;SHS;Sciences humaines et sociales;disc10;Information communication;;Services et réseaux de communication;26;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
2013;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Informatique>Informatique;STS;Sciences, technologies et santé;disc16;Informatique;;Informatique;100;84;78;28;27;86;96;1500;23400;1300;1650;44;;9.9;1870;;1490;2280;_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Autres formations Droit, économie et gestion;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;;Autres formations Droit, économie et gestion;17;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,
2019;DUT;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Autres formations Droit, économie et gestion;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;;Autres formations Droit, économie et gestion;37;91;ns;ns;24;72;ns;ns;ns;ns;ns;29;54;7.2;1980;;1480;2480;_30;4;11;57;0;;10;0;11;7;0;0;0;4;20;69;3;0;4;0;0;0;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,
2019;DUT;18 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences fondamentales>Chimie;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;;Chimie;24;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;7.2;1980;;1480;2480;_18;ns;ns;ns;ns;;ns;ns;ns;ns;ns;ns;ns;;;;;;;;;;;;;;;;;;;;;;;;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns,,,,,,,,,,,,,,,,
